Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
78103191,08.03.2024 15:30,sell,2.00,gbpusdc,1.28267,0.00000,0.00000,11.03.2024 15:56,1.28315,-10.00,0.00,-0.11,-96.00
78103516,08.03.2024 15:45,sell,2.00,gbpusdc,1.28823,0.00000,0.00000,11.03.2024 15:52,1.28347,-10.00,0.00,-0.11,952.00
78104076,08.03.2024 18:03,sell,2.00,gbpusdc,1.28713,0.00000,0.00000,11.03.2024 15:52,1.28350,-10.00,0.00,-0.11,726.00
78109356,13.03.2024 02:34,buy,0.01,gbpusdc,1.27954,0.00000,0.00000,13.03.2024 07:20,1.27924,-0.05,0.00,0.00,-0.30
78282533,16.04.2024 09:15,buy,0.50,gbpusdc,1.24211,0.00000,1.24236,16.04.2024 09:40,1.24236,-2.50,0.00,0.00,12.50
78284606,16.04.2024 09:45,buy,0.50,gbpusdc,1.24244,0.00000,1.24269,16.04.2024 09:50,1.24270,-2.50,0.00,0.00,13.00
78285502,16.04.2024 10:00,buy,0.50,gbpusdc,1.24316,0.00000,1.24341,16.04.2024 10:00,1.24341,-2.50,0.00,0.00,12.50
78282034,16.04.2024 05:00,buy,0.50,gbpusdc,1.24344,0.00000,1.24369,16.04.2024 08:24,1.24370,-2.50,0.00,0.00,13.00
78286345,16.04.2024 10:15,buy,0.50,gbpusdc,1.24352,0.00000,1.24377,16.04.2024 10:18,1.24378,-2.50,0.00,0.00,13.00
78290694,16.04.2024 18:00,sell,0.50,gbpusdc,1.24417,0.00000,1.24392,16.04.2024 18:14,1.24421,-2.50,0.00,0.00,-2.00
78282286,16.04.2024 08:30,buy,0.50,gbpusdc,1.24386,0.00000,1.24411,16.04.2024 09:00,1.24444,-2.50,0.00,0.00,29.00
78287218,16.04.2024 11:45,buy,0.50,gbpusdc,1.24427,0.00000,1.24452,16.04.2024 12:07,1.24452,-2.50,0.00,0.00,12.50
78290038,16.04.2024 17:00,sell,0.50,gbpusdc,1.24486,0.00000,1.24461,16.04.2024 17:30,1.24461,-2.50,0.00,0.00,12.50
