Trade Number,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit
1,78086556,2024-02-29 21:00,buy,0.5,gbpusdc,1.26253,0.0,1.26278,2024-03-01 02:56,1.26278,-2.5,0.0,-0.9,12.5
2,78086847,2024-03-01 04:15,buy,0.5,gbpusdc,1.26337,0.0,1.26362,2024-03-01 09:16,1.26362,-2.5,0.0,0.0,12.5
3,78087277,2024-03-01 09:30,buy,0.5,gbpusdc,1.263,0.0,1.26325,2024-03-01 09:33,1.26325,-2.5,0.0,0.0,12.5
4,78087317,2024-03-01 09:45,buy,0.5,gbpusdc,1.26315,0.0,1.2634,2024-03-01 09:53,1.2634,-2.5,0.0,0.0,12.5
5,78087392,2024-03-01 10:00,buy,0.5,gbpusdc,1.26319,0.0,1.26344,2024-03-01 10:11,1.26344,-2.5,0.0,0.0,12.5
6,78087545,2024-03-01 10:15,buy,0.5,gbpusdc,1.26365,0.0,1.2639,2024-03-01 10:17,1.2639,-2.5,0.0,0.0,12.5
7,78087677,2024-03-01 10:30,buy,0.5,gbpusdc,1.26368,0.0,1.26393,2024-03-01 13:33,1.26393,-2.5,0.0,0.0,12.5
8,78093471,2024-03-04 19:15,sell,0.5,gbpusdc,1.26925,0.0,1.269,2024-03-04 21:06,1.269,-2.5,0.0,0.0,12.5
9,78093556,2024-03-04 21:15,sell,0.5,gbpusdc,1.26909,0.0,1.26884,2024-03-04 23:09,1.26884,-2.5,0.0,0.0,12.5
10,78093841,2024-03-05 04:00,sell,0.5,gbpusdc,1.26902,0.0,1.26877,2024-03-05 04:26,1.26877,-2.5,0.0,0.0,12.5
11,78093872,2024-03-05 04:30,sell,0.5,gbpusdc,1.26868,0.0,1.26843,2024-03-05 04:47,1.26843,-2.5,0.0,0.0,12.5
12,78093957,2024-03-05 05:00,sell,0.5,gbpusdc,1.26849,0.0,1.26824,2024-03-05 07:55,1.26824,-2.5,0.0,0.0,12.5
13,78095705,2024-03-05 17:30,sell,0.5,gbpusdc,1.27201,0.0,1.27176,2024-03-05 17:39,1.27176,-2.5,0.0,0.0,12.5
14,78095748,2024-03-05 17:45,sell,0.5,gbpusdc,1.27265,0.0,1.2724,2024-03-05 18:03,1.2724,-2.5,0.0,0.0,12.5
15,78095981,2024-03-05 18:15,sell,0.5,gbpusdc,1.27197,0.0,1.27172,2024-03-05 18:38,1.27172,-2.5,0.0,0.0,12.5
16,78096048,2024-03-05 18:45,sell,0.5,gbpusdc,1.27103,0.0,1.27078,2024-03-05 18:45,1.27078,-2.5,0.0,0.0,12.5
17,78096107,2024-03-05 19:00,sell,0.5,gbpusdc,1.27092,0.0,1.27067,2024-03-05 20:18,1.27067,-2.5,0.0,0.0,12.5
18,78096183,2024-03-05 20:30,sell,0.5,gbpusdc,1.27052,0.0,1.27027,2024-03-05 21:05,1.27027,-2.5,0.0,0.0,12.5
19,78096320,2024-03-05 21:15,sell,0.5,gbpusdc,1.2704,0.0,1.27015,2024-03-05 21:47,1.27015,-2.5,0.0,0.0,12.5
20,78096369,2024-03-05 22:00,sell,0.5,gbpusdc,1.27017,0.0,1.26992,2024-03-05 22:11,1.26992,-2.5,0.0,0.0,12.5
21,78096423,2024-03-05 22:15,sell,0.5,gbpusdc,1.26966,0.0,1.26941,2024-03-06 03:29,1.26941,-2.5,0.0,-0.03,12.5
22,78096778,2024-03-06 04:00,sell,0.5,gbpusdc,1.26924,0.0,1.27064,2024-03-06 14:59,1.27064,-2.5,0.0,0.0,-70.0
23,78097460,2024-03-06 10:15,sell,0.67,gbpusdc,1.27212,0.0,1.27064,2024-03-06 14:59,1.27064,-3.35,0.0,0.0,99.16
24,78097736,2024-03-06 12:30,buy,0.5,gbpusdc,1.27245,0.0,1.2727,2024-03-06 13:58,1.2727,-2.5,0.0,0.0,12.5
25,78097980,2024-03-06 15:00,sell,0.5,gbpusdc,1.27068,0.0,1.27246,2024-03-07 04:29,1.27246,-2.5,0.0,-0.08,-89.0
26,78098929,2024-03-06 18:00,sell,0.67,gbpusdc,1.27422,0.0,1.27246,2024-03-07 04:29,1.27246,-3.35,0.0,-0.11,117.92
27,78100059,2024-03-07 04:30,sell,0.5,gbpusdc,1.2723,0.0,1.28309,2024-03-11 15:56,1.28308,-2.5,0.0,-0.06,-539.0
28,78100938,2024-03-07 12:00,sell,0.67,gbpusdc,1.27501,0.0,1.28304,2024-03-11 15:56,1.2831,-3.35,0.0,-0.08,-542.03
29,78101722,2024-03-07 17:45,sell,0.88,gbpusdc,1.2785,0.0,1.283,2024-03-11 15:56,1.2831,-4.4,0.0,-0.1,-404.8
30,78102204,2024-03-08 01:30,sell,1.18,gbpusdc,1.28103,0.0,1.28295,2024-03-11 15:56,1.28308,-5.9,0.0,-0.06,-241.9
31,78103027,2024-03-08 13:00,sell,1.56,gbpusdc,1.28366,0.0,1.283,2024-03-11 15:56,1.28307,-7.8,0.0,-0.09,92.04
32,78103191,2024-03-08 15:30,sell,2.0,gbpusdc,1.28267,0.0,0.0,2024-03-11 15:56,1.28315,-10.0,0.0,-0.11,-96.0
33,78103516,2024-03-08 15:45,sell,2.0,gbpusdc,1.28823,0.0,0.0,2024-03-11 15:52,1.28347,-10.0,0.0,-0.11,952.0
34,78104076,2024-03-08 18:03,sell,2.0,gbpusdc,1.28713,0.0,0.0,2024-03-11 15:52,1.2835,-10.0,0.0,-0.11,726.0
35,78106622,2024-03-12 04:00,buy,0.5,gbpusdc,1.28169,1.28019,1.28194,2024-03-12 04:45,1.28194,-2.5,0.0,0.0,12.5
36,78106677,2024-03-12 05:00,buy,0.5,gbpusdc,1.28212,1.28062,1.28223,2024-03-12 06:41,1.28223,-2.5,0.0,0.0,5.5
37,78106732,2024-03-12 06:15,buy,0.5,gbpusdc,1.28188,0.0,1.28223,2024-03-12 06:41,1.28223,-2.5,0.0,0.0,17.5
38,78106776,2024-03-12 06:15,buy,0.17,gbpusdc,1.28188,0.0,1.28194,2024-03-12 08:00,1.28199,-0.85,0.0,0.0,1.87
39,78106841,2024-03-12 07:45,buy,0.67,gbpusdc,1.28164,0.0,1.28194,2024-03-12 08:00,1.28199,-3.35,0.0,0.0,23.45
40,78109304,2024-03-13 01:45,buy,0.5,gbpusdc,1.27934,1.27785,1.27959,2024-03-13 03:01,1.27961,-2.5,0.0,0.0,13.5
41,78109356,2024-03-13 02:34,buy,0.01,gbpusdc,1.27954,0.0,0.0,2024-03-13 07:20,1.27924,-0.05,0.0,0.0,-0.3
42,78109397,2024-03-13 03:15,buy,0.5,gbpusdc,1.27945,1.27795,1.2797,2024-03-13 03:24,1.2797,-2.5,0.0,0.0,12.5
43,78109429,2024-03-13 03:30,buy,0.5,gbpusdc,1.27977,1.27827,1.27972,2024-03-13 06:29,1.27973,-2.5,0.0,0.0,-2.0
44,78109463,2024-03-13 03:45,buy,0.67,gbpusdc,1.27953,0.0,1.27972,2024-03-13 06:29,1.27973,-3.35,0.0,0.0,13.4
45,78109537,2024-03-13 05:30,buy,0.88,gbpusdc,1.27926,0.0,1.27972,2024-03-13 06:29,1.27973,-4.4,0.0,0.0,41.36
